SatisfiesConds,Places,Transitions,Arcs,Variables,Conditions,Boundedness,LtsStates,LtsArcs,CgRefStates,CgRefArcs,DeadTransitions,Deadlocks,Soundness,VerificationTime,LtsTime,CgRefTime,Id
True,6,12,25,25,4,False,5,7,0,0,5,False,False,61,61,0,f6f22086-ea23-4eee-b889-0a2c32edd568
True,3,5,10,25,5,True,10,16,10,16,0,True,False,392,147,128,1dab7620-55a5-440e-8d38-ad9cafa5346a
True,24,10,50,18,21,False,17,16,0,0,1,False,False,150,150,0,45b6e898-65c8-421f-aaf4-ee765ee17ced
True,2,13,26,1,19,False,15,27,0,0,1,False,False,159,159,0,61e1148e-58e4-47a3-9666-150b02b4043a
True,24,5,55,19,18,True,6,5,0,0,0,True,False,91,91,0,3dc8c73b-d13d-41c7-a43a-001ab4ed093a
True,17,3,45,24,12,True,5,4,0,0,0,True,False,86,86,0,7cf27e4d-dd80-4632-86f5-52e2705264b4
True,25,14,66,1,2,False,25,24,0,0,3,False,False,78,78,0,8f8a11cc-30cb-449e-8751-34e5cb0bfeae
True,22,2,45,18,21,True,3,2,0,0,0,True,False,87,87,0,a2719637-449d-4b67-882f-04a557fee447
True,21,18,51,25,5,False,34,33,0,0,8,False,False,215,215,0,89306569-6919-4349-9305-b5b8d58d9ab6
True,4,16,32,15,6,True,8,30,0,0,1,False,False,118,118,0,58aa13c5-b9fc-46e3-8082-cf4e261ad61f
True,11,9,36,3,22,False,16,15,0,0,2,False,False,156,156,0,5bced351-1fea-4cb3-93b9-09535fb1239d
True,19,7,36,3,1,True,8,7,8,7,0,True,False,76,47,17,e537a180-846b-4499-bf57-b77041f7e08c
True,20,9,50,24,15,False,18,17,0,0,0,False,False,153,153,0,b176e28c-e884-47a7-a9e5-d82bb7aad047
True,17,4,45,10,22,False,20,19,0,0,0,False,False,184,184,0,72a9e133-b170-4124-a8ce-255c895f9de9
True,5,24,49,11,1,False,7,13,0,0,11,False,False,57,57,0,dc7d6a00-b7ff-49bf-8e0e-1a08e8017094
True,12,20,47,21,15,False,20,20,0,0,6,False,False,123,123,0,6e1e0d23-289d-4b46-bc10-75500da7b5bf
True,13,6,32,5,15,False,19,18,0,0,0,False,False,140,140,0,ab7be648-e824-4c4b-89e5-8a20889316d0
True,11,4,30,12,13,False,8,7,0,0,0,False,False,123,123,0,ca0cbe36-e631-4d42-8eec-89bf878939fc
True,17,4,34,19,10,True,5,4,0,0,0,True,False,68,68,0,b2e67dfa-d392-469a-b433-f888869f3d55
True,12,8,34,21,9,False,22,21,0,0,0,False,False,139,139,0,9876c3b9-dc4c-4f51-929a-8dce9112f703
True,6,10,31,19,24,False,14,13,0,0,4,False,False,169,169,0,2ee9723c-b3c1-4d85-8015-d85aea37b9a2
True,4,9,24,10,15,False,12,11,0,0,2,False,False,114,114,0,0096e6f6-0824-4317-bba0-0ef7f03405ac
True,22,19,44,19,2,True,155,279,0,0,0,True,False,715,715,0,eafcffe0-6e70-47fe-89bb-e10fbf3b124e
True,10,6,18,3,10,True,7,6,0,0,0,True,False,75,75,0,b144be1b-042c-494c-bb20-2f5e55b27e74
True,9,12,33,13,20,False,133,132,0,0,0,False,False,1476,1476,0,6578126c-9597-4f75-b746-5ad6175cfcb4
True,10,4,28,6,16,False,17,16,0,0,0,False,False,221,221,0,77dcaa34-a1f1-4bb1-a251-7e2858968f9e
True,7,19,40,16,22,False,27,31,0,0,5,False,False,234,234,0,0642ccce-8f52-48e0-9a55-72fe555f53e0
True,9,2,24,8,16,False,6,5,0,0,0,False,False,245,245,0,b6c7b564-2cf6-41de-9c25-1e623d85feb3
True,17,2,34,19,14,False,4,3,0,0,0,False,False,87,87,0,ee07ea0c-70a5-4f90-aa91-febd1d161225
True,14,8,35,3,19,False,20,19,0,0,0,False,False,117,117,0,3f648ce6-ca28-458a-afc1-4c475a2d0dd2
True,19,7,57,12,17,False,28,27,0,0,0,False,False,254,254,0,b6bde25d-010f-4e4c-b686-114445e20547
True,16,11,47,3,12,False,19,18,0,0,4,False,False,83,83,0,a1ad451c-d0fe-4213-b73e-d089914ffe67
True,8,15,37,3,9,False,12,12,0,0,5,False,False,83,83,0,c094becd-7726-4f72-b253-61ddb6daf883
True,19,12,50,24,23,False,99,98,0,0,0,False,False,1298,1298,0,760669cb-89d2-4a31-818c-e2cc6740ffd7
True,16,2,31,20,11,True,3,2,0,0,0,True,False,64,64,0,584320c8-476c-4ef3-968c-7fdf8ab4c5db
True,20,13,45,20,15,False,39,38,0,0,2,False,False,176,176,0,1f77ee94-f4eb-48e0-9659-d3817ed4fd57
True,18,11,56,2,18,False,50,49,0,0,0,False,False,342,342,0,a5fe1ce5-630f-4a64-863f-85d20101e7cd
True,23,12,49,20,10,True,10,9,0,0,3,True,False,93,93,0,39d707b1-f424-462b-a489-0fc495034987
True,21,2,45,14,7,True,3,2,0,0,0,True,False,63,63,0,072cb83d-5f24-4cc9-b809-05cd221f9f08
True,23,24,53,6,9,False,25,24,0,0,11,False,False,109,109,0,792fa716-6f46-45b2-aca5-bc30d0fb6a39
True,11,13,31,19,21,False,37,36,0,0,4,False,False,250,250,0,b4241a52-dd8e-48b9-a10f-a95647b00e1b
True,24,11,51,17,17,True,11,10,0,0,1,True,False,91,91,0,5a879c06-8c1e-4451-9ee9-da5bdc9c01dd
True,4,9,31,11,21,False,14,13,0,0,3,False,False,179,179,0,822a6c43-ea0f-43c5-8beb-4da2b71634af
True,3,10,22,17,6,False,7,7,0,0,4,False,False,74,74,0,c23fc18d-4fde-4e6e-aff4-69c3acb2d539
True,13,25,50,8,6,True,48,80,0,0,4,False,False,332,332,0,879a92b6-7e53-480e-98b4-ec385eb71a9c
True,17,3,34,16,8,True,4,3,0,0,0,True,False,64,64,0,8577c3b1-c04c-4441-8de2-b742e808931c
True,19,16,44,9,4,False,15,14,0,0,7,False,False,58,58,0,2469d3ec-d73f-46e3-a288-1182d420e00e
True,5,19,41,5,20,False,66,120,0,0,5,False,False,1300,1300,0,d735d91f-4e2b-46bc-a469-56c55fe23016
True,5,12,24,14,18,True,19,22,0,0,5,False,False,293,293,0,608c7ee3-2ff5-4bc7-b70a-3aa752bbc2fb
True,4,17,37,1,19,False,19,29,0,0,2,False,False,164,164,0,2e20be28-e7a5-4574-a52a-1ab2f96cc3cc
True,19,25,55,7,20,False,82,81,0,0,7,False,False,479,479,0,af73600b-4664-46f7-ba62-7d8801a2a263
True,23,19,44,1,15,True,20,19,0,0,0,True,False,96,96,0,cc7a30fc-9ffc-4a72-95f9-29bb90cc0cc8
True,20,2,48,19,18,False,4,3,0,0,0,False,False,94,94,0,2e1992b1-b400-4640-a9a6-9b60af0a46dc
True,17,10,50,16,12,False,22,21,0,0,2,False,False,186,186,0,03f541b2-068e-43b6-a604-6e8841d1c91b
